n,algorithm,time_ns,comparisons,allocations,max_depth
100,MergeSort,580700,554,1,4
100,QuickSort,625900,591,0,4
100,Select,541700,593,8,5
100,ClosestPair,4788900,138,1,5
200,MergeSort,92000,1312,1,5
200,QuickSort,149400,1548,0,5
200,Select,100500,1353,14,7
200,ClosestPair,438600,287,1,6
400,MergeSort,193700,3034,1,6
400,QuickSort,108400,3361,0,5
400,Select,230400,3820,34,9
400,ClosestPair,822000,565,1,7
800,MergeSort,163400,6884,1,7
800,QuickSort,138400,9278,0,6
800,Select,201300,6556,29,10
800,ClosestPair,910200,1147,1,8
1600,MergeSort,135400,15424,1,8
1600,QuickSort,257900,18438,0,7
1600,Select,271200,18476,77,12
1600,ClosestPair,1335900,2348,1,9
3200,MergeSort,313000,33981,1,9
3200,QuickSort,513700,42310,0,7
3200,Select,163600,24444,90,11
3200,ClosestPair,2891200,4720,1,10
6400,MergeSort,639300,74541,1,10
6400,QuickSort,829600,94161,0,8
6400,Select,507800,87769,210,17
6400,ClosestPair,7684600,9472,1,11
